participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
217,1,2,1,noise,11,1,Not Studied,30,0.47500000000000003,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,31,0.5,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,32,0.525,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,33,0.55,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,34,0.5750000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,35,0.6000000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,36,0.625,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,37,0.65,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,38,0.675,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,39,0.7000000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,40,0.7250000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,41,0.75,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,42,0.775,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,43,0.8,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,44,0.8250000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,45,0.8500000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,46,0.875,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,47,0.9,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,48,0.925,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,49,0.9500000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,50,0.9750000000000001,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,51,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,52,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,53,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,54,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,55,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,56,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,57,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,58,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,59,1,NaN,NaN,NaN
