participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
4,11,0.6,right,\RIGHT,1,1,0,1128955.79128381,1128955.79128381,0.00959476176649332
4,11,0.6,right,\RIGHT,1,2,0,1128955.88629368,1128955.99139012,0.189627041341737
4,11,0.6,right,\RIGHT,1,3,0,1128955.98130356,1128956.04141127,0.0395418754778802
4,11,0.6,right,\RIGHT,1,4,0,1128956.07631343,1128956.09145143,0.0395608914550394
4,11,0.6,right,\RIGHT,1,5,0,1128956.1713233,1128956.14148283,0.0395521381869912
4,11,0.6,right,\RIGHT,1,6,0,1128956.26633317,1128956.19149945,0.0195768352132291
4,11,0.6,right,\RIGHT,1,7,0,1128956.36134304,1128956.2715453,-0.000295218080282211
4,11,0.6,right,\RIGHT,1,8,0,1128956.45635291,1128956.37163165,0.00976503966376185
4,11,0.6,right,\RIGHT,1,9,0,1128956.55136279,1128956.46167889,-0.000274082645773888
4,11,0.6,right,\RIGHT,1,10,0,1128956.64637266,1128956.56173627,0.00973606226034462
4,11,0.6,right,\RIGHT,1,11,0,1128956.74138253,1128956.65179588,-0.000261706998571754
4,11,0.6,right,\RIGHT,1,12,0.015,1128956.8363924,1128956.75185145,0.00973425130359828
4,11,0.6,right,\RIGHT,1,13,0.03,1128956.93140227,1128956.84191016,-0.000262612476944923
4,11,0.6,right,\RIGHT,1,14,0.045,1128957.02641215,1128956.9419778,0.00974632520228624
4,11,0.6,right,\RIGHT,1,15,0.06,1128957.12142202,1128957.0320347,-0.000264423666521907
4,11,0.6,right,\RIGHT,1,16,0.075,1128957.21643189,1128957.13210113,0.00974511774256825
4,11,0.6,right,\RIGHT,1,17,0.09,1128957.31144176,1128957.22211517,-0.000307285925373435
4,11,0.6,right,\RIGHT,1,18,0.105,1128957.40645163,1128957.32220485,0.009768360061571
4,11,0.6,right,\RIGHT,1,19,0.12,1128957.50146151,1128957.4122714,-0.000254764454439282
4,11,0.6,right,\RIGHT,1,20,0.135,1128957.59647138,1128957.51233029,0.00973757146857679
4,11,0.6,right,\RIGHT,1,21,0.15,1128957.69148125,1128957.60237843,-0.000273177167400718
4,11,0.6,right,\RIGHT,1,22,0.165,1128957.78649112,1128957.70245755,0.00975779537111521
4,11,0.6,right,\RIGHT,1,23,0.18,1128957.88150099,1128957.79250871,-0.000270158750936389
4,11,0.6,right,\RIGHT,1,24,0.195,1128957.97651087,1128957.88254658,-0.000283439876511693
4,11,0.6,right,\RIGHT,1,25,0.21,1128958.07152074,1128957.98264079,-0.000207368517294526
4,11,0.6,right,\RIGHT,1,26,0.225,1128958.16653061,1128958.07270644,-0.000255670165643096
4,11,0.6,right,\RIGHT,1,27,0.24,1128958.26154048,1128958.17275175,-0.000256267609074712
4,11,0.6,right,\RIGHT,1,28,0.255,1128958.35655035,1128958.27281124,0.00973817519843578
4,11,0.6,right,\RIGHT,1,29,0.27,1128958.45156022,1128958.36287297,-0.000259594060480595
4,11,0.6,right,\RIGHT,1,30,0.285,1128958.5465701,1128958.45290994,-0.000284345354884863
4,11,0.6,right,\RIGHT,1,31,0.3,1128958.64157997,1128958.55296128,-0.000250230776146054
4,11,0.6,right,\RIGHT,1,32,0.315,1128958.73658984,1128958.64303357,-0.000249029602855444
4,11,0.6,right,\RIGHT,1,33,0.33,1128958.83159971,1128958.74310816,-0.000226988457143307
4,11,0.6,right,\RIGHT,1,34,0.345,1128958.92660958,1128958.83311706,-0.000312417279928923
4,11,0.6,right,\RIGHT,1,35,0.36,1128959.02161946,1128958.93322213,-0.000196502078324556
4,11,0.6,right,\RIGHT,1,36,0.375,1128959.11662933,1128959.02330438,-0.000239068409428
4,11,0.6,right,\RIGHT,1,37,0.39,1128959.2116392,1128959.12334878,-0.000257173320278525
4,11,0.6,right,\RIGHT,1,38,0.405,1128959.30664907,1128959.21340236,-0.000267743831500411
4,11,0.6,right,\RIGHT,1,39,0.42,1128959.40165894,1128959.31342382,-0.000280113657936454
4,11,0.6,right,\RIGHT,1,40,0.435,1128959.49666882,1128959.40352086,-0.000224278075620532
4,11,0.6,right,\RIGHT,1,41,0.45,1128959.59167869,1128959.50357039,-0.000252041732892394
4,11,0.6,right,\RIGHT,1,42,0.465,1128959.68668856,1128959.59363423,-0.000257481122389436
4,11,0.6,right,\RIGHT,1,43,0.48,1128959.78169843,1128959.69371878,-0.000217027729377151
4,11,0.6,right,\RIGHT,1,44,0.495,1128959.8767083,1128959.78375394,-0.000286156544461846
4,11,0.6,right,\RIGHT,1,45,0.51,1128959.97171818,1128959.88382159,-0.000233931001275778
4,11,0.6,right,\RIGHT,1,46,0.525,1128960.06672805,1128959.97387697,-0.000265932874754071
4,11,0.6,right,\RIGHT,1,47,0.54,1128960.16173792,1128960.07394009,-0.000238458858802915
4,11,0.6,right,\RIGHT,1,48,0.555,1128960.25674779,1128960.16398461,-0.000276799313724041
4,11,0.6,right,\RIGHT,1,49,0.57,1128960.35175766,1128960.26404772,-0.000238458625972271
4,11,0.6,right,\RIGHT,1,50,0.585,1128960.44676753,1128960.36411839,0.00974934361875057
4,11,0.6,right,\RIGHT,1,51,0.6,1128960.54177741,1128960.4541777,-0.000262008979916573
4,11,0.6,right,\RIGHT,1,52,0.6,1128960.63678728,1128960.54422312,-0.000275893835350871
4,11,0.6,right,\RIGHT,1,53,0.6,1128960.73179715,1128960.64430525,-0.000219442183151841
4,11,0.6,right,\RIGHT,1,54,0.6,1128960.82680702,1128960.73435822,-0.000268347794190049
4,11,0.6,right,\RIGHT,1,55,0.6,1128960.92181689,1128960.8344147,-0.000245099421590567
4,11,0.6,right,\RIGHT,1,56,0.6,1128961.01682677,1128960.92447129,-0.000264725415036082
4,11,0.6,right,\RIGHT,1,57,0.6,1128961.11183664,1128961.02453109,-0.000241779023781419
4,11,0.6,right,\RIGHT,1,58,0.6,1128961.20684651,1128961.11458738,-0.000265027396380901
4,11,0.6,right,\RIGHT,1,59,0.6,1128961.30185638,1128961.21465472,-0.000234232749789953
4,11,0.6,right,\RIGHT,1,60,0.6,1128961.39686625,1128961.30471886,-0.00025717937387526
4,11,0.6,right,\RIGHT,1,61,0.6,1128961.49187613,1128961.40475421,-0.000266228569671512
4,11,0.6,right,\RIGHT,1,62,0.6,1128961.586886,1128961.49475949,-0.000316039426252246
4,11,0.6,right,\RIGHT,1,63,0.6,1128961.68189587,1128961.59488478,-0.000176278408616781
4,11,0.6,right,\RIGHT,1,64,0.6,1128961.77690574,1128961.68495013,-0.000255971914157271
4,11,0.6,right,\RIGHT,1,65,0.6,1128961.87191561,1128961.78500721,-0.000244495691731572
4,11,0.6,right,\RIGHT,1,66,0.6,1128961.96692549,1128961.87506561,-0.000262914225459099
4,11,0.6,right,\RIGHT,1,67,0.6,1128962.06193536,1128961.97511726,-0.000249929027631879
4,11,0.6,right,\RIGHT,1,68,0.6,1128962.15694523,1128962.06514759,-0.000290986150503159
4,11,0.6,right,\RIGHT,1,69,0.6,1128962.2519551,1128962.16524029,-0.00020887772552669
4,11,0.6,right,\RIGHT,1,70,0.6,1128962.34696497,1128962.25531288,-0.000248727621510625
4,11,0.6,right,\RIGHT,1,71,0.6,1128962.44197484,1128962.35537026,-0.000244193710386753
4,11,0.6,right,\RIGHT,1,72,0.6,1128962.53698472,1128962.455421,0.00972942169755697
4,11,0.6,right,\RIGHT,1,73,0.6,1128962.63199459,1128962.54548031,-0.000262008979916573
4,11,0.6,right,\RIGHT,1,74,0.6,1128962.72700446,1128962.63554445,-0.000257179141044617
4,11,0.6,right,\RIGHT,1,75,0.6,1128962.82201433,1128962.73560817,-0.00023785512894392
4,11,0.6,right,\RIGHT,1,76,0.6,1128962.9170242,1128962.82569253,-0.000236955471336842
4,11,0.6,right,\RIGHT,1,77,0.6,1128963.01203408,1128962.92573845,-0.000255664112046361
4,11,0.6,right,\RIGHT,1,78,0.6,1128963.10704395,1128963.01579293,-0.000266838353127241
4,11,0.6,right,\RIGHT,1,79,0.6,1128963.20205382,1128963.11582465,-0.000269850715994835
4,11,0.6,right,\RIGHT,1,80,0.6,1128963.29706369,1128963.20589875,-0.000247218413278461
4,11,0.6,right,\RIGHT,1,81,0.6,1128963.39207356,1128963.30596458,-0.000235742190852761
4,11,0.6,right,\RIGHT,1,82,0.6,1128963.48708344,1128963.39600971,-0.000276195583865047
4,11,0.6,right,\RIGHT,1,83,0.6,1128963.58209331,1128963.4960689,-0.000242382753640413
4,11,0.6,right,\RIGHT,1,84,0.6,1128963.67710318,1128963.5860947,-0.000295513775199652
4,11,0.6,right,\RIGHT,1,85,0.6,1128963.77211305,1128963.68620189,-0.000194389140233397
4,11,0.6,right,\RIGHT,1,86,0.6,1128963.86712292,1128963.77624913,-0.000274082645773888
4,11,0.6,right,\RIGHT,1,87,0.6,1128963.9621328,1128963.87635722,-0.000193483661860228
4,11,0.6,right,\RIGHT,1,88,0.6,1128964.05714267,1128963.9663794,-0.000299135921522975
4,11,0.6,right,\RIGHT,1,89,0.6,1128964.15215254,1128964.06644523,-0.000235742190852761
