participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
4,\RIGHT,right,3,1,0.6,11,1128955.99139012,1128964.53676056,OK,RightArrow,8.366274778964,0,1,1465826385,0.2
4,\RIGHT,right,7,2,0.6,10,1128967.15838988,1128973.19214752,OK,RightArrow,5.89483778597787,0,1,1465826385,0.2
4,\RIGHT,left,1,3,0.6,6,1128975.51360771,1128982.61807718,OK,RightArrow,6.9311245996505,1,0,1465826385,0.2
4,\RIGHT,left,9,4,0.6,11,1128984.79945088,1128988.36167614,OK,RightArrow,3.42902268934995,1,0,1465826385,0.2
4,\LEFT,right,7,5,0.6,8,1128990.50297908,1128996.17656739,OK,LeftArrow,5.53312330832705,0,1,1465826385,0.2
4,\RIGHT,left,8,6,0.6,7,1128998.247863,1129003.92142324,OK,RightArrow,5.55575910094194,1,0,1465826385,0.2
4,\RIGHT,right,8,7,0.6,9,1129006.21287986,1129010.65562149,OK,RightArrow,4.30242814612575,0,1,1465826385,0.2
4,\RIGHT,right,1,8,0.6,8,1129012.60651705,1129017.24979784,OK,RightArrow,4.52439691778272,0,1,1465826385,0.2
4,\RIGHT,left,5,9,0.6,10,1129019.43122164,1129023.69383861,OK,RightArrow,4.15537744574249,1,0,1465826385,0.2
4,\LEFT,left,9,10,0.6,1,1129025.93524994,1129030.56815263,OK,LeftArrow,4.49904420203529,1,0,1465826385,0.2
4,\LEFT,right,10,11,0.6,3,1129040.91464497,1129044.97718038,OK,LeftArrow,3.88671086309478,0,1,1465826385,0.2
4,\LEFT,right,5,12,0.6,6,1129047.21859231,1129050.78082995,OK,LeftArrow,3.39852197701111,0,1,1465826385,0.2
4,\RIGHT,right,2,13,0.6,9,1129052.71204661,1129059.71645237,OK,RightArrow,6.9045928705018,0,1,1465826385,0.2
4,\RIGHT,right,5,14,0.6,1,1129061.81775427,1129068.06166609,OK,RightArrow,6.15038882405497,0,1,1465826385,0.2
4,\RIGHT,left,3,15,0.6,10,1129070.17300198,1129073.9453606,OK,RightArrow,3.63492023246363,1,0,1465826385,0.2
4,\LEFT,left,2,16,0.6,7,1129076.02667299,1129079.22868003,OK,LeftArrow,3.10893952473998,1,0,1465826385,0.2
4,\LEFT,left,10,17,0.6,1,1129080.95974964,1129083.50133431,OK,LeftArrow,2.37568002310582,1,0,1465826385,0.2
4,\LEFT,left,4,18,0.6,5,1129085.29248229,1129088.40441946,OK,LeftArrow,2.97867935383692,1,0,1465826385,0.2
4,\RIGHT,left,2,19,0.6,6,1129090.35566275,1129093.55764927,OK,RightArrow,3.02725827414542,1,0,1465826385,0.2
4,\RIGHT,left,6,20,0.6,8,1129095.41881604,1129098.43072118,OK,RightArrow,2.84374025603756,1,0,1465826385,0.2
4,\LEFT,right,8,21,0.6,4,1129103.35379402,1129106.91604101,OK,LeftArrow,3.38039668090642,0,1,1465826385,0.2
4,\LEFT,left,6,22,0.6,3,1129108.89728878,1129112.28943545,OK,LeftArrow,3.24462388223037,1,0,1465826385,0.2
4,\LEFT,left,1,23,0.6,10,1129114.05055632,1129117.92294485,OK,LeftArrow,3.70706402976066,1,0,1465826385,0.2
4,\RIGHT,right,6,24,0.6,7,1129119.81413301,1129125.20754593,OK,RightArrow,5.27909478545189,0,1,1465826385,0.2
4,\RIGHT,right,4,25,0.6,1,1129127.11871604,1129131.4614347,OK,RightArrow,4.17418612283655,0,1,1465826385,0.2
4,\LEFT,left,7,26,0.6,3,1129133.27258154,1129136.66471885,OK,LeftArrow,3.21997326239944,1,0,1465826385,0.2
4,\RIGHT,right,10,27,0.6,5,1129138.46583351,1129142.61843547,OK,RightArrow,4.00244556274265,0,1,1465826385,0.2
4,\LEFT,right,4,28,0.6,8,1129144.47960889,1129148.5521469,OK,LeftArrow,3.88433804549277,0,1,1465826385,0.2
4,\RIGHT,left,4,29,0.6,5,1129150.36328076,1129153.45523567,OK,RightArrow,2.92044314742088,1,0,1465826385,0.2
4,\RIGHT,right,9,30,0.6,2,1129155.27636519,1129158.26824732,OK,RightArrow,2.82309061521664,0,1,1465826385,0.2
4,\LEFT,left,8,31,0.6,6,1129162.15066984,1129164.79234028,OK,LeftArrow,2.46847074455582,1,0,1465826385,0.2
4,\LEFT,right,9,32,0.6,10,1129166.54343379,1129171.4565155,OK,LeftArrow,4.73935710848309,0,1,1465826385,0.2
4,\RIGHT,left,7,33,0.6,4,1129173.27766886,1129176.0994232,OK,RightArrow,2.6448651785031,1,0,1465826385,0.2
4,\LEFT,right,6,34,0.6,11,1129177.87054848,1129185.1651105,OK,LeftArrow,7.11546092457138,0,1,1465826385,0.2
4,\LEFT,right,3,35,0.6,9,1129187.08625121,1129198.08321825,OK,LeftArrow,10.8511164858937,0,1,1465826385,0.2
4,\LEFT,right,2,36,0.6,9,1129200.37466371,1129206.33835214,OK,LeftArrow,5.81028597266413,0,1,1465826385,0.2
4,\LEFT,left,5,37,0.6,1,1129208.22955177,1129210.7711778,OK,LeftArrow,2.39512861543335,1,0,1465826385,0.2
4,\RIGHT,left,10,38,0.6,1,1129212.332167,1129214.68363408,OK,RightArrow,2.22829668782651,1,0,1465826385,0.2
4,\LEFT,left,3,39,0.6,11,1129216.53477411,1129219.73679896,OK,LeftArrow,3.07348369550891,1,0,1465826385,0.2
4,\LEFT,right,1,40,0.6,9,1129221.87813841,1129226.22085616,OK,LeftArrow,4.24966502538882,0,1,1465826385,0.2
