participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
200,\RIGHT,left,6,1,0.6,9,861619.38685741,861619.727065605,CAUGHT,RightArrow,0.245840022922494,1,0,1439097320,0.2
200,\LEFT,right,5,2,0.6,1,861620.947866532,861621.278061866,CAUGHT,LeftArrow,0.235872136545368,0,1,1439097320,0.2
200,\LEFT,left,2,3,0.6,6,861622.478827712,861622.839046538,CAUGHT,LeftArrow,0.26601697166916,1,0,1439097320,0.2
200,\RIGHT,left,1,4,0.6,10,861624.029712892,861624.39001352,CAUGHT,RightArrow,0.265820167493075,1,0,1439097320,0.2
200,\RIGHT,right,6,5,0.6,6,861625.580766806,861625.940988953,CAUGHT,RightArrow,0.265770966536365,0,1,1439097320,0.2
200,\RIGHT,right,4,6,0.6,8,861627.131745861,861627.491926051,CAUGHT,RightArrow,0.265919173252769,0,1,1439097320,0.2
200,\LEFT,left,7,7,0.6,11,861628.672728958,861629.042932574,CAUGHT,LeftArrow,0.275623245630413,1,0,1439097320,0.2
200,\LEFT,right,6,8,0.6,8,861630.233652053,861630.59386756,CAUGHT,LeftArrow,0.265908004948869,0,1,1439097320,0.2
200,\LEFT,left,10,9,0.6,3,861631.784648314,861632.144884044,CAUGHT,LeftArrow,0.265738668851554,1,0,1439097320,0.2
200,\RIGHT,left,10,10,0.6,6,861633.335672948,861633.695838348,CAUGHT,RightArrow,0.266176648554392,1,0,1439097320,0.2
200,\LEFT,right,7,11,0.6,7,861635.126722828,861635.486962181,CAUGHT,LeftArrow,0.265733537496999,0,1,1439097320,0.2
200,\RIGHT,right,10,12,0.6,1,861636.677681962,861637.037865472,CAUGHT,RightArrow,0.265713313710876,0,1,1439097320,0.2
200,\LEFT,left,6,13,0.6,11,861638.228682448,861638.588881051,CAUGHT,LeftArrow,0.265772777609527,1,0,1439097320,0.2
200,\LEFT,right,3,14,0.6,1,861639.779673275,861640.13988033,CAUGHT,LeftArrow,0.26559106586501,0,1,1439097320,0.2
200,\RIGHT,right,7,15,0.6,6,861641.33064418,861641.690851537,CAUGHT,RightArrow,0.265677393996157,0,1,1439097320,0.2
200,\RIGHT,right,2,16,0.6,6,861642.881581581,861643.241829385,CAUGHT,RightArrow,0.265763420262374,0,1,1439097320,0.2
200,\RIGHT,left,3,17,0.6,3,861644.432562145,861644.792799384,CAUGHT,RightArrow,0.26586967043113,1,0,1439097320,0.2
200,\LEFT,right,1,18,0.6,5,861645.983520071,861646.34375399,CAUGHT,LeftArrow,0.265715728513896,0,1,1439097320,0.2
200,\RIGHT,right,9,19,0.6,4,861647.534525085,861647.894747534,CAUGHT,RightArrow,0.265704560209997,0,1,1439097320,0.2
200,\LEFT,right,2,20,0.6,4,861649.085499009,861649.445649014,CAUGHT,LeftArrow,0.265695504844189,0,1,1439097320,0.2
