participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
1,\RIGHT,right,3,1,0.6,7,868609.181356795,868616.976225641,OK,RightArrow,7.6425023219781,0,1,1439794508,0.2
1,\LEFT,left,4,2,0.6,9,868619.197614867,868624.97126811,OK,LeftArrow,5.60186891455669,1,0,1439794508,0.2
1,\LEFT,right,8,3,0.6,1,868626.902459417,868628.783661275,OK,LeftArrow,1.76084437407553,0,1,1439794508,0.2
1,\RIGHT,right,6,4,0.6,5,868630.774914057,868632.916218802,OK,RightArrow,1.97609977121465,0,1,1439794508,0.2
1,\RIGHT,left,10,5,0.6,10,868635.167637557,868639.110114312,OK,RightArrow,3.82315460673999,1,0,1439794508,0.2
1,\RIGHT,left,3,6,0.6,5,868640.871202579,868645.123873093,OK,RightArrow,4.07125938625541,1,0,1439794508,0.2
1,\RIGHT,left,8,7,0.6,11,868646.824960556,868649.176408319,OK,LeftArrow,2.18118957220577,1,0,1439794508,0.2
1,\LEFT,right,6,8,0.6,10,868652.488526653,868657.781810048,OK,LeftArrow,5.18925099435728,0,1,1439794508,0.2
1,\RIGHT,left,4,9,0.6,4,868659.793112098,868662.234620378,OK,RightArrow,2.34039685002062,1,0,1439794508,0.2
1,\LEFT,left,8,10,0.6,10,868663.855647508,868667.537909693,OK,LeftArrow,3.52558921242598,1,0,1439794508,0.2
1,\RIGHT,right,10,11,0.6,10,868673.141471364,868675.773101165,OK,RightArrow,2.50333767081611,0,1,1439794508,0.2
1,\LEFT,left,6,12,0.6,5,868677.544231572,868679.425417432,OK,LeftArrow,1.74838413868565,1,0,1439794508,0.2
1,\RIGHT,right,5,13,0.6,7,868680.956377102,868682.71746567,OK,RightArrow,1.6000496839406,0,1,1439794508,0.2
1,\RIGHT,right,1,14,0.6,3,868684.318485792,868686.569852931,OK,RightArrow,2.15767751843669,0,1,1439794508,0.2
1,\RIGHT,left,2,15,0.6,5,868688.230901625,868691.532965141,OK,RightArrow,3.11705920333043,1,0,1439794508,0.2
1,\LEFT,left,1,16,0.6,4,868693.013934153,868695.945756019,OK,LeftArrow,2.78979721630458,1,0,1439794508,0.2
1,\LEFT,right,9,17,0.6,8,868697.586802232,868700.108380203,OK,LeftArrow,2.36067642655689,0,1,1439794508,0.2
1,\LEFT,right,5,18,0.6,3,868701.63933776,868703.80068151,OK,LeftArrow,2.01999070926104,0,1,1439794508,0.2
1,\RIGHT,left,7,19,0.6,8,868705.311600365,868708.703758506,OK,RightArrow,3.2514616176486,1,0,1439794508,0.2
1,\LEFT,left,9,20,0.6,9,868710.224726142,868712.766281842,OK,LeftArrow,2.40212542389054,1,0,1439794508,0.2
1,\RIGHT,right,8,21,0.6,11,868716.898920868,868720.200943633,OK,RightArrow,3.19948903366458,0,1,1439794508,0.2
1,\LEFT,left,5,22,0.6,5,868721.77194479,868724.973959074,OK,LeftArrow,3.07025121804327,1,0,1439794508,0.2
1,\RIGHT,right,2,23,0.6,7,868726.404870419,868729.036482712,OK,LeftArrow,2.52513070718851,0,1,1439794508,0.2
1,\RIGHT,left,1,24,0.6,6,868731.037765863,868733.199147947,OK,RightArrow,1.98799102543853,1,0,1439794508,0.2
1,\LEFT,right,4,25,0.6,3,868734.750111306,868736.811396165,OK,LeftArrow,1.91547716397326,0,1,1439794508,0.2
1,\LEFT,left,3,26,0.6,6,868738.392385432,868742.084658969,OK,LeftArrow,3.53694529237691,1,0,1439794508,0.2
1,\RIGHT,left,5,27,0.6,10,868743.555606366,868747.708249986,OK,RightArrow,3.98934843041934,1,0,1439794508,0.2
1,\RIGHT,right,9,28,0.6,7,868749.189185494,868751.440529693,OK,RightArrow,2.11554272507783,0,1,1439794508,0.2
1,\LEFT,left,7,29,0.6,4,868752.961485859,868755.503082308,OK,LeftArrow,2.42309532419313,1,0,1439794508,0.2
1,\LEFT,left,2,30,0.6,5,868756.984029588,868760.095991203,OK,LeftArrow,2.97632857121062,1,0,1439794508,0.2
1,\LEFT,right,2,31,0.6,11,868763.548127207,868766.089741163,OK,LeftArrow,2.40394676744472,0,1,1439794508,0.2
1,\LEFT,right,3,32,0.6,1,868767.580685911,868769.17164578,OK,LeftArrow,1.45917839114554,0,1,1439794508,0.2
1,\RIGHT,right,7,33,0.6,3,868770.63260386,868772.423724976,OK,RightArrow,1.67105883930344,0,1,1439794508,0.2
1,\RIGHT,right,4,34,0.6,9,868773.924668097,868776.366157964,OK,RightArrow,2.32284536480438,0,1,1439794508,0.2
1,\LEFT,right,10,35,0.6,8,868777.947184358,868780.198620621,OK,LeftArrow,2.12412543664686,0,1,1439794508,0.2
1,\RIGHT,left,6,36,0.6,2,868781.699569174,868783.480617361,OK,LeftArrow,1.62757780926768,1,0,1439794508,0.2
1,\RIGHT,left,9,37,0.6,1,868785.241762073,868786.552622611,OK,RightArrow,1.16519954032265,1,0,1439794508,0.2
1,\LEFT,right,7,38,0.6,6,868787.973471289,868789.944708007,OK,LeftArrow,1.88126796181314,0,1,1439794508,0.2
1,\LEFT,right,1,39,0.6,5,868791.645749288,868793.496960554,OK,LeftArrow,1.76078551402316,0,1,1439794508,0.2
1,\LEFT,left,10,40,0.6,1,868795.077919938,868798.279913696,OK,LeftArrow,3.02439978520852,1,0,1439794508,0.2
