participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
6,\RIGHT,right,10,1,0.6,8,1135114.67693127,1135122.01151636,OK,RightArrow,7.17127058492042,0,1,1466442613,0.2
6,\RIGHT,left,10,2,0.6,6,1135124.35298265,1135125.75385511,OK,LeftArrow,1.21500999573618,1,0,1466442613,0.2
6,\LEFT,right,8,3,0.6,6,1135128.94586317,1135132.05781604,OK,LeftArrow,2.98181976773776,0,1,1466442613,0.2
6,\LEFT,right,1,4,0.6,2,1135134.05907655,1135136.3104787,OK,RightArrow,2.08436436648481,0,1,1466442613,0.2
6,\LEFT,left,10,5,0.6,7,1135138.49184968,1135143.40492535,OK,LeftArrow,4.77125929575413,1,0,1466442613,0.2
6,\RIGHT,right,9,6,0.6,1,1135145.10598354,1135149.7388823,OK,LeftArrow,4.45278195594437,0,1,1466442613,0.2
6,\RIGHT,right,1,7,0.6,11,1135151.39992285,1135156.42307721,OK,RightArrow,4.83847785904072,0,1,1466442613,0.2
6,\LEFT,right,4,8,0.6,2,1135158.05403329,1135163.99783153,OK,LeftArrow,5.80794243398122,0,1,1466442613,0.2
6,\LEFT,right,5,9,0.6,8,1135165.69893016,1135169.19109317,OK,LeftArrow,3.38672308786772,0,1,1466442613,0.2
6,\RIGHT,left,7,10,0.6,10,1135170.83211915,1135174.60447868,OK,RightArrow,3.59733004448935,1,0,1466442613,0.2
6,\LEFT,left,2,11,0.6,3,1135181.14858469,1135183.59009689,OK,LeftArrow,2.29639754910022,1,0,1466442613,0.2
6,\RIGHT,left,1,12,0.6,3,1135185.18113192,1135188.19299571,OK,LeftArrow,2.85557114100084,1,0,1466442613,0.2
6,\LEFT,left,9,13,0.6,8,1135189.87370006,1135191.91532926,OK,LeftArrow,1.94675120804459,1,0,1466442613,0.2
6,\RIGHT,left,3,14,0.6,1,1135193.51634093,1135196.31808132,OK,RightArrow,2.68796708923765,1,0,1466442613,0.2
6,\RIGHT,left,8,15,0.6,8,1135197.85874898,1135203.92284615,OK,LeftArrow,5.88111492549069,1,0,1466442613,0.2
6,\RIGHT,right,7,16,0.6,4,1135205.63392142,1135209.38627545,OK,RightArrow,3.57764299330302,0,1,1466442613,0.2
6,\LEFT,left,6,17,0.6,11,1135210.99729213,1135217.72149714,OK,LeftArrow,6.61393463634886,1,0,1466442613,0.2
6,\LEFT,left,3,18,0.6,7,1135219.25215466,1135226.83720407,OK,LeftArrow,7.48645537998527,1,0,1466442613,0.2
6,\RIGHT,left,5,19,0.6,11,1135228.39820293,1135232.65085593,OK,RightArrow,4.14021779457107,1,0,1466442613,0.2
6,\RIGHT,right,3,20,0.6,6,1135234.20183378,1135240.25561503,OK,RightArrow,5.88817632920109,0,1,1466442613,0.2
6,\LEFT,right,2,21,0.6,10,1135244.10803308,1135249.57146147,OK,LeftArrow,5.35747292661108,0,1,1466442613,0.2
6,\LEFT,right,3,22,0.6,8,1135251.16246692,1135255.60524658,OK,LeftArrow,4.28671128558926,0,1,1466442613,0.2
6,\RIGHT,right,2,23,0.6,5,1135257.08616971,1135259.44765328,OK,RightArrow,2.20277946558781,0,1,1466442613,0.2
6,\LEFT,right,10,24,0.6,1,1135260.86821701,1135264.45078524,OK,RightArrow,3.42850260739215,0,1,1466442613,0.2
6,\RIGHT,left,6,25,0.6,10,1135265.79163727,1135268.61339825,OK,RightArrow,2.71283684950322,1,0,1466442613,0.2
6,\RIGHT,right,4,26,0.6,10,1135270.16437339,1135277.73911956,OK,RightArrow,7.44367704936303,0,1,1466442613,0.2
6,\LEFT,right,9,27,0.6,5,1135279.27006081,1135283.80292182,OK,LeftArrow,4.4016150010284,0,1,1466442613,0.2
6,\LEFT,left,8,28,0.6,4,1135285.34385088,1135289.87673845,OK,RightArrow,4.42342554451898,1,0,1466442613,0.2
6,\RIGHT,right,8,29,0.6,6,1135291.60781681,1135294.3395221,OK,RightArrow,2.57530217128806,0,1,1466442613,0.2
6,\RIGHT,right,6,30,0.6,11,1135295.79046913,1135297.85171233,OK,LeftArrow,1.88844859506935,0,1,1466442613,0.2
6,\LEFT,right,6,31,0.6,11,1135301.27392355,1135304.39582166,OK,RightArrow,2.9405887038447,0,1,1466442613,0.2
6,\LEFT,left,1,32,0.6,2,1135306.0168512,1135311.79046188,OK,RightArrow,5.59735328657553,1,0,1466442613,0.2
6,\LEFT,left,7,33,0.6,7,1135313.4014671,1135319.17509347,OK,RightArrow,5.5963550794404,1,0,1466442613,0.2
6,\RIGHT,left,4,34,0.6,7,1135320.83614187,1135324.60849596,OK,RightArrow,3.62544284691103,1,0,1466442613,0.2
6,\RIGHT,left,9,35,0.6,6,1135326.14946246,1135329.92185519,OK,RightArrow,3.67180258990265,1,0,1466442613,0.2
6,\RIGHT,right,5,36,0.6,9,1135331.53284712,1135339.29770304,OK,LeftArrow,7.65589466015808,0,1,1466442613,0.2
6,\LEFT,right,7,37,0.6,1,1135340.83866108,1135348.51347369,OK,RightArrow,7.57351493649185,0,1,1466442613,0.2
6,\RIGHT,left,2,38,0.6,1,1135350.70485662,1135357.51913512,OK,RightArrow,6.69895672681741,1,0,1466442613,0.2
6,\LEFT,left,4,39,0.6,1,1135359.23025145,1135364.14328848,OK,LeftArrow,4.77318688924424,1,0,1466442613,0.2
6,\LEFT,left,5,40,0.6,1,1135365.72428801,1135375.39032925,OK,RightArrow,9.49442172027193,1,0,1466442613,0.2
