participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
3,1,1,3,81,96,6,stroller,16,practice,study,Not Studied,go,absent,f,NaN,875384.202134419,875387.304054798,OK,j,2.92791808117181,,7,0,2,0,0,1440452189,0.2
3,1,1,3,14,139,7,binoculars,4,practice,name,CFS,go,present,NA,30,875489.968381851,875493.940870025,Return,moon,3.8680177932838,,5,1,1,0,0,1440452189,0.2
3,1,1,3,14,139,7,binoculars,4,practice,noise,CFS,go,present,\ENTER,4,875628.635286976,875632.557716577,OK,NO RESPONSE,NaN,,5,1,1,0,0,1440452189,0.2
3,1,1,3,14,139,7,binoculars,4,practice,noise,CFS,go,present,\ENTER,4,875636.170005545,875637.580860982,Return,Return,1.2827833534684,,5,1,2,0,0,1440452189,0.2
3,1,1,3,14,139,7,binoculars,4,practice,study,CFS,go,present,j,NaN,875276.434575161,875282.118129552,OK,j,5.57300692831632,2,2,0.6,1,0,0,1440452189,0.2
3,1,1,3,14,139,7,binoculars,4,practice,study,CFS,go,present,j,NaN,875389.725605874,875392.637388132,OK,j,2.7320786769269,2,2,0.6,2,0,0,1440452189,0.2
3,1,1,3,39,18,8,mouse,5,practice,name,CFS,nogo,present,NA,30,875494.070942447,875496.772632095,Return,book,2.50927831756417,,5,1,1,0,0,1440452189,0.2
3,1,1,3,39,18,8,mouse,5,practice,noise,CFS,nogo,present,z,4,875640.402632225,875644.415144982,OK,NO RESPONSE,NaN,,2,0,1,0,0,1440452189,0.2
3,1,1,3,39,18,8,mouse,5,practice,noise,CFS,nogo,present,z,4,875646.166249062,875655.562128068,OK,NO RESPONSE,NaN,,2,0,2,0,0,1440452189,0.2
3,1,1,3,39,18,8,mouse,5,practice,study,CFS,nogo,present,j,NaN,875286.060611439,875290.513396111,OK,j,4.2905350808287,3,1,0.6,1,0,0,1440452189,0.2
3,1,1,3,39,18,8,mouse,5,practice,study,CFS,nogo,present,j,NaN,875395.789369499,875398.911303226,OK,j,3.00409424980171,2,1,0.6,2,0,0,1440452189,0.2
3,1,1,3,122,32,9,lure,1,practice,name,CFS,name,present,NA,30,875496.902722024,875503.606919113,Return,sunset,6.59707317280117,,10,1,1,0,0,1440452189,0.2
3,1,1,3,122,32,9,lure,1,practice,name,CFS,name,present,NA,30,875663.587158411,875667.709750768,Return,hook,4.01600935007446,,10,1,2,0,0,1440452189,0.2
3,1,1,3,122,32,9,lure,1,practice,noise,CFS,name,present,NA,4,875658.413918578,875662.426431033,OK,NO RESPONSE,NaN,,11,1,1,0,0,1440452189,0.2
3,1,1,3,122,32,9,lure,1,practice,study,CFS,name,present,j,NaN,875293.525289177,875300.449617696,OK,j,6.80936020857189,2,5,0.6,1,0,0,1440452189,0.2
