participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
200,9,0.6,left,\RIGHT,1,1,0,861619.336846528,861619.336846528,-0.000488741905428469
200,9,0.6,left,\RIGHT,1,2,0,861619.431843442,861619.38685741,0.0395044002216309
200,9,0.6,left,\RIGHT,1,3,0,861619.526840355,861619.436895457,-0.00049312470946461
200,9,0.6,left,\RIGHT,1,4,0,861619.621837269,861619.536977288,0.00952596717979759
200,9,0.6,left,\RIGHT,1,5,0,861619.716834183,861619.6270206,-0.000512551632709801
200,9,0.6,left,\RIGHT,1,6,0,861619.811831096,861619.727065605,0.00948914175387472
200,9,0.6,left,\RIGHT,1,7,0,861619.90682801,NaN,NaN
200,9,0.6,left,\RIGHT,1,8,0,861620.001824923,NaN,NaN
200,9,0.6,left,\RIGHT,1,9,0,861620.096821837,NaN,NaN
200,9,0.6,left,\RIGHT,1,10,0.015,861620.191818751,NaN,NaN
200,9,0.6,left,\RIGHT,1,11,0.03,861620.286815664,NaN,NaN
200,9,0.6,left,\RIGHT,1,12,0.045,861620.381812578,NaN,NaN
200,9,0.6,left,\RIGHT,1,13,0.06,861620.476809492,NaN,NaN
200,9,0.6,left,\RIGHT,1,14,0.075,861620.571806405,NaN,NaN
200,9,0.6,left,\RIGHT,1,15,0.09,861620.666803319,NaN,NaN
200,9,0.6,left,\RIGHT,1,16,0.105,861620.761800232,NaN,NaN
200,9,0.6,left,\RIGHT,1,17,0.12,861620.856797146,NaN,NaN
200,9,0.6,left,\RIGHT,1,18,0.135,861620.95179406,NaN,NaN
200,9,0.6,left,\RIGHT,1,19,0.15,861621.046790973,NaN,NaN
200,9,0.6,left,\RIGHT,1,20,0.165,861621.141787887,NaN,NaN
200,9,0.6,left,\RIGHT,1,21,0.18,861621.2367848,NaN,NaN
200,9,0.6,left,\RIGHT,1,22,0.195,861621.331781714,NaN,NaN
200,9,0.6,left,\RIGHT,1,23,0.21,861621.426778628,NaN,NaN
