participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
1,1,1,1,81,96,1,stroller,14,practice,name,Not Studied,nogo,present,NA,30,869446.826359918,869452.339840848,Return,tent,5.40131707827095,,2,1,1,0,0,1439816028,0.2
1,1,1,1,81,96,1,stroller,14,practice,noise,Not Studied,nogo,present,z,4,869527.116703024,869531.049146694,OK,NO RESPONSE,NaN,,10,0,1,0,0,1439816028,0.2
1,1,1,1,81,96,1,stroller,14,practice,noise,Not Studied,nogo,present,z,4,869535.011647664,869544.407499202,OK,NO RESPONSE,NaN,,10,0,2,0,0,1439816028,0.2
1,1,1,1,81,96,1,stroller,14,practice,study,Not Studied,nogo,present,f,NaN,868875.628409397,868889.677196592,OK,f,13.9171204178128,,6,0,1,0,0,1439816028,0.2
1,1,1,1,81,96,1,stroller,14,practice,study,Not Studied,nogo,present,f,NaN,869186.673382456,869202.883520644,OK,f,16.0475580745842,,6,0,2,0,0,1439816028,0.2
1,1,1,1,20,71,2,briefcase,4,practice,name,CFS,go,present,NA,30,869452.489864739,869455.391762118,Return,NO RESPONSE,2.79365029057954,,4,1,1,0,0,1439816028,0.2
1,1,1,1,20,71,2,briefcase,4,practice,noise,CFS,go,present,\ENTER,4,869547.21929622,869551.231810184,OK,NO RESPONSE,NaN,,7,1,1,0,0,1439816028,0.2
1,1,1,1,20,71,2,briefcase,4,practice,noise,CFS,go,present,\ENTER,4,869553.763379283,869555.934717482,Return,Return,2.01889289240353,,7,1,2,0,0,1439816028,0.2
1,1,1,1,20,71,2,briefcase,4,practice,study,CFS,go,present,j,NaN,868894.029958898,868909.599689581,OK,f,15.4024719441077,,3,0.6,1,0,0,1439816028,0.2
1,1,1,1,20,71,2,briefcase,4,practice,study,CFS,go,present,j,NaN,869206.505804967,869217.04240072,OK,j,10.3743374085752,1!,3,0.6,2,0,0,1439816028,0.2
1,1,1,1,125,111,3,cork screw,12,practice,name,Not Studied,go,present,NA,30,869455.521812807,869457.072802125,Return,NO RESPONSE,1.44167610688601,,5,1,1,0,0,1439816028,0.2
1,1,1,1,125,111,3,cork screw,12,practice,noise,Not Studied,go,present,\ENTER,4,869558.866566514,869562.879103117,OK,NO RESPONSE,NaN,,7,1,1,0,0,1439816028,0.2
1,1,1,1,125,111,3,cork screw,12,practice,noise,Not Studied,go,present,\ENTER,4,869565.500739374,869569.663323412,Return,Return,4.02480214694515,,7,1,2,0,0,1439816028,0.2
1,1,1,1,125,111,3,cork screw,12,practice,study,Not Studied,go,present,f,NaN,868915.513426598,868934.385228041,OK,NO RESPONSE,NaN,,5,0,1,0,0,1439816028,0.2
1,1,1,1,125,111,3,cork screw,12,practice,study,Not Studied,go,present,f,NaN,869222.405760263,869232.372000511,OK,j,9.77756004570983,,5,0,2,0,0,1439816028,0.2
1,1,1,1,23,53,4,bucket,7,practice,name,CFS,go,absent,NA,30,869457.112777205,869457.122847719,OK,NO RESPONSE,NaN,,11,0,1,0,0,1439816028,0.2
1,1,1,1,23,53,4,bucket,7,practice,noise,CFS,go,absent,\ENTER,4,869573.527561479,869573.535779258,OK,NO RESPONSE,NaN,,5,1,1,0,0,1439816028,0.2
1,1,1,1,23,53,4,bucket,7,practice,noise,CFS,go,absent,\ENTER,4,869575.547049614,869579.239334319,Return,Return,3.52200930949766,,5,1,2,0,0,1439816028,0.2
1,1,1,1,23,53,4,bucket,7,practice,study,CFS,go,absent,j,NaN,868939.03816249,868954.968129507,OK,f,15.8238241029903,,11,0.6,1,0,0,1439816028,0.2
1,1,1,1,23,53,4,bucket,7,practice,study,CFS,go,absent,j,NaN,869235.193775376,869242.688486265,OK,f,7.33307615993544,,11,0.6,2,0,0,1439816028,0.2
1,1,1,1,26,52,5,camera,10,practice,name,Not Studied,name,present,NA,30,869457.252890258,869461.71569383,Return,NO RESPONSE,4.35835250816308,,11,1,1,0,0,1439816028,0.2
1,1,1,1,26,52,5,camera,10,practice,name,Not Studied,name,present,NA,30,869586.753989132,869597.860992309,Return,NO RESPONSE,11.0022578140488,,11,1,2,0,0,1439816028,0.2
1,1,1,1,26,52,5,camera,10,practice,noise,Not Studied,name,present,NA,4,869581.630860091,869585.593279562,OK,NO RESPONSE,NaN,,9,1,1,0,0,1439816028,0.2
1,1,1,1,26,52,5,camera,10,practice,study,Not Studied,name,present,f,NaN,868958.410287663,868973.78995478,OK,f,15.2587608767208,,10,0,1,0,0,1439816028,0.2
1,1,1,1,26,52,5,camera,10,practice,study,Not Studied,name,present,f,NaN,869245.490207034,869253.645334249,OK,j,7.97203540417831,,10,0,2,0,0,1439816028,0.2
1,1,1,1,201,203,6,bellow,11,practice,name,Not Studied,go,present,NA,30,869461.865795597,869463.937077924,Return,NO RESPONSE,1.96136481838766,,2,1,1,0,0,1439816028,0.2
1,1,1,1,201,203,6,bellow,11,practice,noise,Not Studied,go,present,\ENTER,4,869599.021718782,869603.034251763,OK,NO RESPONSE,NaN,,8,1,1,0,0,1439816028,0.2
1,1,1,1,201,203,6,bellow,11,practice,noise,Not Studied,go,present,\ENTER,4,869605.605862046,869610.629007356,Return,Return,4.88555026217364,,8,1,2,0,0,1439816028,0.2
1,1,1,1,201,203,6,bellow,11,practice,study,Not Studied,go,present,f,NaN,868976.921890805,868992.77186631,OK,f,15.7221240716754,,10,0,1,0,0,1439816028,0.2
1,1,1,1,201,203,6,bellow,11,practice,study,Not Studied,go,present,f,NaN,869256.407096841,869264.922406359,OK,f,8.35856893239543,,10,0,2,0,0,1439816028,0.2
1,1,1,1,146,147,7,hinge,9,practice,name,CFS,nogo,absent,NA,30,869463.961821814,869463.967115905,OK,NO RESPONSE,NaN,,7,0,1,0,0,1439816028,0.2
1,1,1,1,146,147,7,hinge,9,practice,noise,CFS,nogo,absent,z,4,869613.693876646,869613.700932616,OK,NO RESPONSE,NaN,,2,0,1,0,0,1439816028,0.2
1,1,1,1,146,147,7,hinge,9,practice,noise,CFS,nogo,absent,z,4,869616.322593926,869625.718436711,OK,NO RESPONSE,NaN,,2,0,2,0,0,1439816028,0.2
1,1,1,1,146,147,7,hinge,9,practice,study,CFS,nogo,absent,j,NaN,868995.773703953,869011.053311576,OK,f,15.1333752296632,,9,0.6,1,0,0,1439816028,0.2
1,1,1,1,146,147,7,hinge,9,practice,study,CFS,nogo,absent,j,NaN,869267.794211726,869279.841738408,OK,f,11.9066584081156,,9,0.6,2,0,0,1439816028,0.2
1,1,1,1,187,2,8,jacket,13,practice,name,Not Studied,go,present,NA,30,869464.117193525,869471.07159172,Return,jacket,6.84546983800828,,11,1,1,0,0,1439816028,0.2
1,1,1,1,187,2,8,jacket,13,practice,noise,Not Studied,go,present,\ENTER,4,869628.159971554,869632.132462445,OK,NO RESPONSE,NaN,,3,1,1,0,0,1439816028,0.2
1,1,1,1,187,2,8,jacket,13,practice,noise,Not Studied,go,present,\ENTER,4,869634.654070298,869637.675945437,Return,Return,2.86786022922024,,3,1,2,0,0,1439816028,0.2
1,1,1,1,187,2,8,jacket,13,practice,study,Not Studied,go,present,f,NaN,869014.065235732,869027.823789994,OK,j,13.5769339550752,,10,0,1,0,0,1439816028,0.2
1,1,1,1,187,2,8,jacket,13,practice,study,Not Studied,go,present,f,NaN,869282.54344677,869294.69105468,OK,f,12.0126525118249,,10,0,2,0,0,1439816028,0.2
1,1,1,1,40,88,9,cookie cutter,5,practice,name,CFS,nogo,present,NA,30,869471.221644286,869472.492451868,Return,NO RESPONSE,1.16507397207897,,11,1,1,0,0,1439816028,0.2
1,1,1,1,40,88,9,cookie cutter,5,practice,noise,CFS,nogo,present,z,4,869640.387638287,869644.400169457,OK,NO RESPONSE,NaN,,2,0,1,0,0,1439816028,0.2
1,1,1,1,40,88,9,cookie cutter,5,practice,noise,CFS,nogo,present,z,4,869647.161915145,869656.557769099,OK,NO RESPONSE,NaN,,2,0,2,0,0,1439816028,0.2
1,1,1,1,40,88,9,cookie cutter,5,practice,study,CFS,nogo,present,j,NaN,869031.60616178,869047.556157841,OK,j,15.7870039261179,1!,11,0.6,1,0,0,1439816028,0.2
1,1,1,1,40,88,9,cookie cutter,5,practice,study,CFS,nogo,present,j,NaN,869297.55284477,869308.369650633,OK,j,10.6985329340678,1!,11,0.6,2,0,0,1439816028,0.2
1,1,1,1,112,37,10,rake,17,practice,name,Not Studied,go,absent,NA,30,869472.515842882,869472.522509168,OK,NO RESPONSE,NaN,,8,0,1,0,0,1439816028,0.2
1,1,1,1,112,37,10,rake,17,practice,noise,Not Studied,go,absent,\ENTER,4,869658.520549277,869658.529004911,OK,NO RESPONSE,NaN,,7,1,1,0,0,1439816028,0.2
1,1,1,1,112,37,10,rake,17,practice,noise,Not Studied,go,absent,\ENTER,4,869661.17069285,869664.192599683,Return,Return,2.83778632816393,,7,1,2,0,0,1439816028,0.2
1,1,1,1,112,37,10,rake,17,practice,study,Not Studied,go,absent,f,NaN,869058.453025244,869077.344853316,OK,NO RESPONSE,NaN,,8,0,1,0,0,1439816028,0.2
1,1,1,1,112,37,10,rake,17,practice,study,Not Studied,go,absent,f,NaN,869314.26332148,869319.286482184,OK,j,4.83545546722598,,8,0,2,0,0,1439816028,0.2
1,1,1,1,14,139,11,binoculars,2,practice,name,CFS,go,present,NA,30,869472.652544161,869474.803893461,Return,NO RESPONSE,2.04599813034292,,5,1,1,0,0,1439816028,0.2
1,1,1,1,14,139,11,binoculars,2,practice,noise,CFS,go,present,\ENTER,4,869666.664097045,869670.67663244,OK,NO RESPONSE,NaN,,1,1,1,0,0,1439816028,0.2
1,1,1,1,14,139,11,binoculars,2,practice,noise,CFS,go,present,\ENTER,4,869672.888032348,869675.339557716,Return,Return,2.29592485702597,,1,1,2,0,0,1439816028,0.2
1,1,1,1,14,139,11,binoculars,2,practice,study,CFS,go,present,j,NaN,869080.546839528,869095.636290315,OK,f,14.9637626892654,,7,0.6,1,0,0,1439816028,0.2
1,1,1,1,14,139,11,binoculars,2,practice,study,CFS,go,present,j,NaN,869322.098259582,869333.845577597,OK,f,11.6157689591637,,7,0.6,2,0,0,1439816028,0.2
1,1,1,1,39,18,12,mouse,3,practice,name,CFS,go,present,NA,30,869474.933974637,869476.905216486,Return,NO RESPONSE,1.86049607302994,,5,1,1,0,0,1439816028,0.2
1,1,1,1,39,18,12,mouse,3,practice,noise,CFS,go,present,\ENTER,4,869677.380862732,869681.393340475,OK,NO RESPONSE,NaN,,2,1,1,0,0,1439816028,0.2
1,1,1,1,39,18,12,mouse,3,practice,noise,CFS,go,present,\ENTER,4,869683.474678827,869686.026225656,Return,Return,2.39672961074393,,2,1,2,0,0,1439816028,0.2
1,1,1,1,39,18,12,mouse,3,practice,study,CFS,go,present,j,NaN,869098.818292459,869110.395536109,OK,f,11.387448123889,,11,0.6,1,0,0,1439816028,0.2
1,1,1,1,39,18,12,mouse,3,practice,study,CFS,go,present,j,NaN,869336.737396614,869344.232104787,OK,f,7.34406398667488,,11,0.6,2,0,0,1439816028,0.2
